#Idx,EeV,g,rIn,v,J,ECB,Group
3316,-6.577525e-01,1.305000e+02,2.049862e+00,11,130,1.383658e+00,13
3317,-6.575228e-01,9.250000e+01,1.913175e+00,20,92,9.741621e-01,14
3318,-6.564221e-01,5.550000e+01,1.844039e+00,26,55,7.372241e-01,16
3319,-6.555184e-01,2.050000e+01,1.813922e+00,29,20,6.595528e-01,16
3320,-6.549081e-01,9.750000e+01,1.926220e+00,19,97,1.015189e+00,14
3321,-6.542819e-01,8.750000e+01,1.900877e+00,21,87,9.301967e-01,15
3322,-6.537864e-01,1.445000e+02,2.133951e+00,7,144,1.578604e+00,12
3323,-6.520639e-01,3.650000e+01,1.823879e+00,28,36,6.729734e-01,16
3324,-6.506375e-01,2.150000e+01,1.814194e+00,29,21,6.552618e-01,16
3325,-6.502876e-01,6.350000e+01,1.855032e+00,25,63,7.696013e-01,15
3326,-6.500617e-01,7.650000e+01,1.877352e+00,23,76,8.463734e-01,15
3327,-6.478998e-01,4.750000e+01,1.834158e+00,27,47,6.968397e-01,16
