Id,v,longitude,latitude,rin,eevvib,eevrot,deltaeintdiss,bin
5884,-33,95,-7.177581,1.673524,7.605817,1.430113,-0.999246,35
5885,-18,152,-7.172711,1.825274,4.654818,4.3816,-1.697292,32
5886,-25,128,-7.172092,1.745645,6.146377,2.890103,-1.338685,34
5887,-41,46,-7.152226,1.618174,8.7493,0.289167,-0.754932,35
5888,-42,36,-7.141571,1.612346,8.865811,0.173721,-0.734384,35
5889,-43,22,-7.136618,1.606716,8.975771,0.064256,-0.718796,35
5890,-36,80,-7.13611,1.65105,8.075809,0.964269,-0.891439,35
5891,-39,62,-7.093113,1.630809,8.497481,0.546897,-0.798823,35
5892,-43,23,-7.078568,1.60693,8.975771,0.070061,-0.713672,35
5893,-8,182,-7.075417,1.984922,2.211477,6.834671,-2.289762,4
5894,-32,100,-7.062534,1.682002,7.439177,1.608259,-1.028948,36
5895,-40,55,-7.056831,1.624619,8.626453,0.421553,-0.770355,35
5896,-19,149,-7.052094,1.813181,4.879239,4.169241,-1.634769,32
5897,-42,37,-7.046501,1.612696,8.865811,0.183228,-0.726468,35
5898,-22,139,-7.029604,1.778112,5.530095,3.520634,-1.476185,34
5899,-41,47,-7.029339,1.618628,8.7493,0.301456,-0.745052,35
5900,-43,24,-7.01806,1.607154,8.975771,0.076112,-0.708356,35
5901,-24,132,-7.01798,1.756527,5.944884,3.107007,-1.376078,34
5902,-38,69,-7.006502,1.637687,8.362588,0.690451,-0.820145,35
5903,-28,117,-7.004253,1.717113,6.726384,2.32688,-1.190152,34
5904,-37,75,-7.002695,1.644499,8.221968,0.831451,-0.849821,35
5905,-29,113,-7.001719,1.707987,6.911275,2.142242,-1.146716,34
5906,-4,193,-6.998062,2.083117,1.134173,7.91971,-2.550972,22
