#Idx,EeV,g,rIn,v,J,ECB,Group
1116,-6.264291e+00,7.020000e+02,1.785268e+00,10,58,6.338629e+00,5
1117,-6.262870e+00,4.050000e+02,1.802749e+00,9,67,6.373425e+00,5
1118,-6.262615e+00,4.500000e+01,1.738095e+00,13,7,6.262825e+00,3
1119,-6.260221e+00,4.140000e+02,1.753141e+00,12,34,6.277276e+00,3
1120,-6.259557e+00,4.530000e+02,1.821362e+00,8,75,6.409700e+00,5
1121,-6.259132e+00,1.020000e+02,1.738175e+00,13,8,6.259435e+00,3
1122,-6.255213e+00,5.700000e+01,1.738265e+00,13,9,6.255634e+00,3
1123,-6.254142e+00,5.730000e+02,1.886006e+00,5,95,6.536376e+00,5
1124,-6.252013e+00,5.820000e+02,1.769038e+00,11,48,6.295949e+00,3
1125,-6.250860e+00,1.260000e+02,1.738366e+00,13,10,6.251424e+00,3
1126,-6.248967e+00,5.370000e+02,1.862820e+00,6,89,6.486332e+00,5
1127,-6.246072e+00,6.900000e+01,1.738476e+00,13,11,6.246808e+00,3
1128,-6.244939e+00,2.130000e+02,1.753495e+00,12,35,6.263396e+00,3
1129,-6.243589e+00,6.090000e+02,1.912082e+00,4,101,6.575488e+00,5
1130,-6.240850e+00,1.500000e+02,1.738596e+00,13,12,6.241789e+00,3
1131,-6.238378e+00,3.570000e+02,1.785878e+00,10,59,6.316319e+00,5
1132,-6.235193e+00,8.100000e+01,1.738726e+00,13,13,6.236370e+00,3
1133,-6.232920e+00,8.220000e+02,1.803460e+00,9,68,6.348035e+00,5
1134,-6.230562e+00,2.970000e+02,1.769539e+00,11,49,6.277089e+00,3
1135,-6.229229e+00,4.380000e+02,1.753860e+00,12,36,6.249158e+00,3
1136,-6.229103e+00,1.740000e+02,1.738866e+00,13,14,6.230552e+00,3
1137,-6.228203e+00,5.010000e+02,1.841943e+00,7,83,6.425283e+00,5
1138,-6.225991e+00,9.180000e+02,1.822168e+00,8,76,6.381591e+00,5
1139,-6.225555e+00,1.350000e+03,1.975984e+00,2,112,6.661698e+00,4
1140,-6.223049e+00,7.050000e+02,2.018820e+00,1,117,6.712525e+00,6
1141,-6.222578e+00,9.300000e+01,1.739016e+00,13,15,6.224337e+00,3
1142,-6.217189e+00,6.450000e+02,1.941969e+00,3,107,6.603770e+00,4
1143,-6.215620e+00,1.980000e+02,1.739177e+00,13,16,6.217730e+00,3
1144,-6.213089e+00,2.250000e+02,1.754234e+00,12,37,6.234565e+00,3
1145,-6.212047e+00,7.260000e+02,1.786498e+00,10,60,6.293694e+00,5
1146,-6.211388e+00,1.158000e+03,1.887069e+00,5,96,6.501560e+00,5
1147,-6.209588e+00,1.470000e+03,2.082640e+00,0,122,6.756295e+00,6
1148,-6.209003e+00,1.086000e+03,1.863800e+00,6,90,6.453523e+00,5
1149,-6.208688e+00,6.060000e+02,1.770051e+00,11,50,6.257902e+00,3
1150,-6.208229e+00,1.050000e+02,1.739347e+00,13,17,6.210731e+00,3
1151,-6.202557e+00,4.170000e+02,1.804183e+00,9,69,6.322342e+00,5
1152,-6.200405e+00,2.220000e+02,1.739528e+00,13,18,6.203343e+00,3
1153,-6.198048e+00,1.230000e+03,1.913231e+00,4,102,6.538706e+00,5
1154,-6.196522e+00,4.620000e+02,1.754619e+00,12,38,6.219619e+00,3
1155,-6.192148e+00,1.170000e+02,1.739718e+00,13,19,6.195568e+00,3
1156,-6.192017e+00,4.650000e+02,1.822984e+00,8,77,6.353190e+00,5
1157,-6.191032e+00,1.014000e+03,1.842846e+00,7,84,6.394517e+00,5
1158,-6.186391e+00,3.090000e+02,1.770573e+00,11,51,6.238393e+00,3
1159,-6.185299e+00,3.690000e+02,1.787130e+00,10,61,6.270757e+00,5
1160,-6.183459e+00,2.460000e+02,1.739919e+00,13,20,6.187408e+00,3
1161,-6.179527e+00,2.370000e+02,1.755014e+00,12,39,6.204324e+00,3
1162,-6.174848e+00,6.810000e+02,1.977312e+00,2,113,6.621352e+00,4
1163,-6.174338e+00,1.290000e+02,1.740129e+00,13,21,6.178864e+00,3
1164,-6.171782e+00,8.460000e+02,1.804916e+00,9,70,6.296347e+00,5
1165,-6.169957e+00,1.422000e+03,2.020246e+00,1,118,6.670563e+00,6
1166,-6.168871e+00,1.302000e+03,1.943210e+00,3,108,6.565069e+00,4
1167,-6.168642e+00,5.490000e+02,1.864793e+00,6,91,6.420444e+00,5
1168,-6.168240e+00,5.850000e+02,1.888143e+00,5,97,6.466486e+00,5
1169,-6.164786e+00,2.700000e+02,1.740350e+00,13,22,6.169939e+00,3
1170,-6.163673e+00,6.300000e+02,1.771105e+00,11,52,6.218561e+00,3
1171,-6.162106e+00,4.860000e+02,1.755419e+00,12,40,6.188681e+00,3
1172,-6.158134e+00,7.500000e+02,1.787772e+00,10,62,6.247508e+00,5
1173,-6.157637e+00,9.420000e+02,1.823812e+00,8,78,6.324498e+00,5
1174,-6.154802e+00,1.410000e+02,1.740581e+00,13,23,6.160633e+00,3
1175,-6.154115e+00,7.410000e+02,2.084190e+00,0,123,6.712748e+00,6
1176,-6.153460e+00,5.130000e+02,1.843760e+00,7,85,6.363472e+00,5
1177,-6.152121e+00,6.210000e+02,1.914393e+00,4,103,6.501678e+00,5
1178,-6.144387e+00,2.940000e+02,1.740822e+00,13,24,6.150949e+00,3
1179,-6.144259e+00,2.490000e+02,1.755835e+00,12,41,6.172695e+00,3
1180,-6.140596e+00,4.290000e+02,1.805661e+00,9,71,6.270052e+00,5
1181,-6.140534e+00,3.210000e+02,1.771649e+00,11,53,6.198409e+00,3
1182,-6.133542e+00,1.530000e+02,1.741073e+00,13,25,6.140889e+00,3
1183,-6.130553e+00,3.810000e+02,1.788425e+00,10,63,6.223949e+00,5
1184,-6.127885e+00,1.110000e+03,1.865798e+00,6,92,6.387099e+00,5
1185,-6.125987e+00,5.100000e+02,1.756261e+00,12,42,6.156368e+00,3
1186,-6.124702e+00,1.182000e+03,1.889231e+00,5,98,6.431155e+00,5
1187,-6.123764e+00,1.374000e+03,1.978654e+00,2,114,6.580781e+00,4
1188,-6.122851e+00,4.770000e+02,1.824652e+00,8,79,6.295518e+00,5
1189,-6.122267e+00,3.180000e+02,1.741334e+00,13,26,6.130453e+00,3
1190,-6.120172e+00,6.570000e+02,1.944465e+00,3,109,6.526133e+00,4
1191,-6.116975e+00,6.540000e+02,1.772203e+00,11,54,6.177938e+00,3
1192,-6.116493e+00,7.170000e+02,2.021688e+00,1,119,6.628386e+00,6
1193,-6.115487e+00,1.038000e+03,1.844687e+00,7,86,6.332150e+00,5
1194,-6.110563e+00,1.650000e+02,1.741606e+00,13,27,6.119645e+00,3
1195,-6.109000e+00,8.700000e+02,1.806417e+00,9,72,6.243458e+00,5
1196,-6.107290e+00,2.610000e+02,1.756698e+00,12,43,6.139702e+00,3
1197,-6.105808e+00,1.254000e+03,1.915568e+00,4,104,6.464406e+00,5
1198,-6.102558e+00,7.740000e+02,1.789089e+00,10,64,6.200083e+00,5
1199,-6.098430e+00,3.420000e+02,1.741887e+00,13,28,6.108465e+00,3
