Id,v,longitude,latitude,rin,eevvib,eevrot,deltaebarrier,bin
266,3,-44,-42.01962,2.076796,0.572467,0.338617,-4.240721,6
267,4,-30,-41.98243,2.045586,0.757012,0.157792,-4.210789,8
268,2,-55,-41.97398,2.113812,0.384816,0.530832,-4.2782,7
269,1,-64,-41.96452,2.160045,0.194009,0.722585,-4.32105,2
270,0,-72,-41.93,2.229115,0,0.920046,-4.363686,1
271,4,-31,-41.8776,2.045996,0.757012,0.168274,-4.201512,8
272,3,-45,-41.86682,2.077404,0.572467,0.353897,-4.22872,6
273,2,-56,-41.78309,2.114589,0.384816,0.549921,-4.263562,25
274,4,-32,-41.76945,2.046419,0.757012,0.17909,-4.191973,8
275,5,-0,-41.74548,2.018845,0.938498,0,-4.174548,4
276,5,-1,-41.74211,2.018858,0.938498,0.000337,-4.174213,4
277,1,-65,-41.74204,2.160976,0.194009,0.744834,-4.304191,2
278,5,-2,-41.73539,2.018884,0.938498,0.001009,-4.173547,4
279,5,-3,-41.72529,2.018923,0.938498,0.002019,-4.172552,4
280,5,-4,-41.71183,2.018975,0.938498,0.003365,-4.171232,4
281,3,-46,-41.71073,2.078026,0.572467,0.369506,-4.216506,6
282,5,-5,-41.69501,2.01904,0.938498,0.005047,-4.169589,4
283,0,-73,-41.67912,2.230211,0,0.945134,-4.344841,1
284,5,-6,-41.67482,2.019118,0.938498,0.007066,-4.167627,4
285,4,-33,-41.65796,2.046856,0.757012,0.190239,-4.182176,8
286,5,-7,-41.65128,2.019209,0.938498,0.009421,-4.165348,4
287,5,-8,-41.62437,2.019312,0.938498,0.012111,-4.162754,4
288,5,-9,-41.5941,2.019429,0.938498,0.015138,-4.159849,4
289,2,-57,-41.58895,2.11538,0.384816,0.569336,-4.248701,25
290,5,-10,-41.56047,2.019559,0.938498,0.018501,-4.156634,4
291,3,-47,-41.55135,2.078662,0.572467,0.385445,-4.204074,6
292,4,-34,-41.54315,2.047306,0.757012,0.20172,-4.172124,8
