"J","v","rIn","rOut","DeltaR","E","DeltaEDiss","ERot","EVib","g","dVIn","dVOut","rMin","VMin","rMax","VMax","Tau","Egam"
19,1,2.13354e+00,2.47460e+00,2.31365e+00,-4.85218e+00,-4.85568e+00,6.68611e-02,1.94009e-01,3.90000e+01,0.00000e+00,0.00000e+00,2.28492e+00,-5.14318e+00,8.41137e+00,3.50174e-03,8.92142e+02,1.00000e-300
38,0,2.20146e+00,2.39795e+00,2.30288e+00,-4.85031e+00,-4.87469e+00,2.62738e-01,0.00000e+00,1.54000e+02,0.00000e+00,0.00000e+00,2.29330e+00,-4.94686e+00,6.28209e+00,2.43857e-02,8.87384e+02,1.00000e-300
20,1,2.13382e+00,2.47495e+00,2.31396e+00,-4.84515e+00,-4.84919e+00,7.38892e-02,1.94009e-01,8.20000e+01,0.00000e+00,0.00000e+00,2.28522e+00,-5.13603e+00,8.23388e+00,4.04114e-03,8.92512e+02,1.00000e-300
21,1,2.13411e+00,2.47531e+00,2.31429e+00,-4.83777e+00,-4.84240e+00,8.12665e-02,1.94009e-01,4.30000e+01,0.00000e+00,0.00000e+00,2.28554e+00,-5.12853e+00,8.06876e+00,4.63153e-03,8.92902e+02,1.00000e-300
39,0,2.20203e+00,2.39859e+00,2.30349e+00,-4.83655e+00,-4.86281e+00,2.76495e-01,0.00000e+00,7.90000e+01,0.00000e+00,0.00000e+00,2.29390e+00,-4.93302e+00,6.19058e+00,2.62579e-02,8.88102e+02,1.00000e-300
22,1,2.13442e+00,2.47569e+00,2.31464e+00,-4.83005e+00,-4.83532e+00,8.89930e-02,1.94009e-01,9.00000e+01,0.00000e+00,0.00000e+00,2.28587e+00,-5.12066e+00,7.91476e+00,5.27495e-03,8.93311e+02,1.00000e-300
40,0,2.20261e+00,2.39924e+00,2.30411e+00,-4.82245e+00,-4.85069e+00,2.90596e-01,0.00000e+00,1.62000e+02,0.00000e+00,0.00000e+00,2.29451e+00,-4.91883e+00,6.09026e+00,2.82382e-02,8.88840e+02,1.00000e-300
23,1,2.13473e+00,2.47609e+00,2.31500e+00,-4.82197e+00,-4.82794e+00,9.70681e-02,1.94009e-01,4.70000e+01,0.00000e+00,0.00000e+00,2.28622e+00,-5.11245e+00,7.77083e+00,5.97339e-03,8.93738e+02,1.00000e-300
24,1,2.13507e+00,2.47650e+00,2.31538e+00,-4.81355e+00,-4.82027e+00,1.05492e-01,1.94009e-01,9.80000e+01,0.00000e+00,0.00000e+00,2.28659e+00,-5.10388e+00,7.63602e+00,6.72877e-03,8.94185e+02,1.00000e-300
41,0,2.20321e+00,2.39992e+00,2.30475e+00,-4.80800e+00,-4.83835e+00,3.05042e-01,0.00000e+00,8.30000e+01,0.00000e+00,0.00000e+00,2.29514e+00,-4.90429e+00,5.97144e+00,3.03417e-02,8.89597e+02,1.00000e-300
25,1,2.13541e+00,2.47693e+00,2.31577e+00,-4.80477e+00,-4.81232e+00,1.14263e-01,1.94009e-01,5.10000e+01,0.00000e+00,0.00000e+00,2.28696e+00,-5.09495e+00,7.50949e+00,7.54300e-03,8.94651e+02,1.00000e-300
26,1,2.13577e+00,2.47738e+00,2.31618e+00,-4.79566e+00,-4.80407e+00,1.23383e-01,1.94009e-01,1.06000e+02,0.00000e+00,0.00000e+00,2.28736e+00,-5.08567e+00,7.39044e+00,8.41791e-03,8.95136e+02,1.00000e-300
42,0,2.20382e+00,2.40060e+00,2.30540e+00,-4.79321e+00,-4.82582e+00,3.19832e-01,0.00000e+00,1.70000e+02,0.00000e+00,0.00000e+00,2.29579e+00,-4.88941e+00,5.78880e+00,3.26018e-02,8.90375e+02,1.00000e-300
27,1,2.13615e+00,2.47785e+00,2.31661e+00,-4.78619e+00,-4.79554e+00,1.32849e-01,1.94009e-01,5.50000e+01,0.00000e+00,0.00000e+00,2.28777e+00,-5.07604e+00,7.27811e+00,9.35533e-03,8.95640e+02,1.00000e-300
43,0,2.20444e+00,2.40131e+00,2.30607e+00,-4.77808e+00,-4.81373e+00,3.34966e-01,0.00000e+00,8.70000e+01,0.00000e+00,0.00000e+00,2.29645e+00,-4.87418e+00,5.12452e+00,3.56482e-02,8.91172e+02,1.00000e-300
28,1,2.13654e+00,2.47833e+00,2.31705e+00,-4.77637e+00,-4.78673e+00,1.42663e-01,1.94009e-01,1.14000e+02,0.00000e+00,0.00000e+00,2.28819e+00,-5.06605e+00,7.17178e+00,1.03571e-02,8.96164e+02,1.00000e-300
29,1,2.13694e+00,2.47884e+00,2.31751e+00,-4.76621e+00,-4.77764e+00,1.52823e-01,1.94009e-01,5.90000e+01,0.00000e+00,0.00000e+00,2.28864e+00,-5.05571e+00,7.07073e+00,1.14250e-02,8.96707e+02,1.00000e-300
44,0,2.20509e+00,2.40203e+00,2.30675e+00,-4.76260e+00,-4.80141e+00,3.50442e-01,0.00000e+00,1.78000e+02,0.00000e+00,0.00000e+00,2.29712e+00,-4.85861e+00,5.07770e+00,3.88071e-02,8.91990e+02,1.00000e-300
30,1,2.13736e+00,2.47936e+00,2.31799e+00,-4.75571e+00,-4.76827e+00,1.63329e-01,1.94009e-01,1.22000e+02,0.00000e+00,0.00000e+00,2.28909e+00,-5.04502e+00,6.97427e+00,1.25611e-02,8.97270e+02,1.00000e-300
45,0,2.20574e+00,2.40277e+00,2.30746e+00,-4.74679e+00,-4.78887e+00,3.66261e-01,0.00000e+00,9.10000e+01,0.00000e+00,0.00000e+00,2.29782e+00,-4.84269e+00,5.04251e+00,4.20894e-02,8.92828e+02,1.00000e-300
