Potential energy surface number:
         1
Diatom type:
        OO
Number of rotational levels:
       241
Number of vibrational levels:
        45
Number of ro-vibrational levels (total, bound, quasibound):
      6115      4581      1534
Rotational quantum number, Number of ro-vibrational levels (for this rotational level), jrdotjr [hbar^2], rmin [bohr], ediamin [hartree], rmax [bohr], ediamax [hartree]
          0         45  0.0000000000000000E+00  2.2820490195380909E+00 -2.1001227493155916E-07  2.0000000000000000E+02  1.9151013767477762E-01
         53         36  2.8620000000000000E+03  2.3039291164873354E+00  1.8665020711089671E-02  4.8801975173733876E+00  1.9416386245570100E-01
         54         36  2.9700000000000000E+03  2.3047555929346046E+00  1.9362393675700057E-02  4.8658468347381234E+00  1.9431980923401435E-01
         55         36  3.0800000000000000E+03  2.3056181927776347E+00  2.0072159090727106E-02  4.8521886850824494E+00  1.9447955995239485E-01
         56         36  3.1920000000000000E+03  2.3064905170952454E+00  2.0794288260252414E-02  4.8391005599509906E+00  1.9464311386497035E-01
         57         36  3.3060000000000000E+03  2.3073684839697606E+00  2.1528751907118580E-02  4.8265291663258481E+00  1.9481047270930765E-01
         58         36  3.4220000000000000E+03  2.3082732695107517E+00  2.2275520123061950E-02  4.8144133999992471E+00  1.9498164022826683E-01
         59         36  3.5400000000000000E+03  2.3091947917577076E+00  2.3034562596185588E-02  4.8027395822192229E+00  1.9515662181481996E-01
         60         35  3.6600000000000000E+03  2.3101511936986503E+00  2.3805848401984155E-02  4.7914273860282384E+00  1.9533542421958744E-01
         61         35  3.7820000000000000E+03  2.3111029812803694E+00  2.4589346198534694E-02  4.7804186119751337E+00  1.9551805535172292E-01
         62         35  3.9060000000000000E+03  2.3120644989696304E+00  2.5385024056800612E-02  4.7697066445944989E+00  1.9570452408266759E-01
         63         35  4.0320000000000000E+03  2.3130447944694907E+00  2.6192849527897449E-02  4.7593258355517554E+00  1.9589484012412151E-01
         64         35  4.1600000000000000E+03  2.3140636907204741E+00  2.7012789340789850E-02  4.7491453020071663E+00  1.9608901389551597E-01
         65         35  4.2900000000000000E+03  2.3150919848377072E+00  2.7844810258409815E-02  4.7392735443849618E+00  1.9628705644544389E-01
         66         35  4.4220000000000000E+03  2.3161406366887016E+00  2.8688878137561845E-02  4.7295808383736304E+00  1.9648897936462148E-01
         67         35  4.5560000000000000E+03  2.3172070883938001E+00  2.9544958399839900E-02  4.7200578502569872E+00  1.9669479472602353E-01
         68         35  4.6920000000000000E+03  2.3182832188635403E+00  3.0413015824797714E-02  4.7107807369306105E+00  1.9690451501897652E-01
