######################################################################################################################################################
# jqn   : the rotational q.n. of the i'th quantum state
# vqn   : the vibrational q.n. of the i'th quantum state
# eint  : internal energy of i'th quantum state [Eh]
# egam  : Half width of i'th quantum state
# rmin  : the position of the potential minimum (included centrifugal potential) for i'th quantum state
# vmin  : the value of the potential minimun (inc. cent. pot.)
# vmax  : the value of the local potential maximum (inc. cent. pot.)
# tau   : the vibrational period of the i'th quantum state
# ri    : inner turning point
# ro    : outter turning point
# rmax  : location of maximum in centrifugal barrier
######################################################################################################################################################
#    vqn  jqn   eint            egam            rmin          rmax          vmin            vmax            tau           ri             ro
######################################################################################################################################################
     0   48  1.8888298E-02  0.0000000E+00  2.2999701E+00  4.9668805E+00  1.5365013E-02  1.9344149E-01  8.9546589E+02  2.2076682E+00  2.4052469E+00
     2   13  1.8915288E-02  0.0000000E+00  2.2834239E+00  9.8535358E+00  1.1973491E-03  1.9155476E-01  9.0529658E+02  2.0940200E+00  2.5370085E+00
     2   14  1.9094285E-02  0.0000000E+00  2.2836231E+00  9.5541947E+00  1.3814613E-03  1.9156497E-01  9.0556333E+02  2.0942086E+00  2.5372619E+00
     2   15  1.9286028E-02  0.0000000E+00  2.2838680E+00  9.2837855E+00  1.5786865E-03  1.9157658E-01  9.0584932E+02  2.0944107E+00  2.5375335E+00
     1   36  1.9323983E-02  0.0000000E+00  2.2921459E+00  6.4545140E+00  8.7310572E-03  1.9227855E-01  9.0105980E+02  2.1401067E+00  2.4829102E+00
     2   16  1.9490511E-02  0.0000000E+00  2.2841110E+00  9.0376267E+00  1.7890169E-03  1.9158966E-01  9.0615460E+02  2.0946263E+00  2.5378234E+00
     0   49  1.9519691E-02  0.0000000E+00  2.3007387E+00  4.9468182E+00  1.6000011E-02  1.9357826E-01  8.9638675E+02  2.2083814E+00  2.4060615E+00
     2   17  1.9707725E-02  0.0000000E+00  2.2843592E+00  8.8123479E+00  2.0124441E-03  1.9160431E-01  9.0647920E+02  2.0948555E+00  2.5381314E+00
     1   37  1.9798653E-02  0.0000000E+00  2.2927088E+00  6.3701309E+00  9.2138663E-03  1.9234026E-01  9.0176136E+02  2.1406212E+00  2.4835576E+00
     2   18  1.9937661E-02  0.0000000E+00  2.2846243E+00  8.6051319E+00  2.2489595E-03  1.9162060E-01  9.0682317E+02  2.0950983E+00  2.5384577E+00
