id,v,Longitude,Latitude,rIn,EeVVib,EeVRot
416,2,-7.100000e+01,-7.959132e+01,1.933145e+00,5.741937e-01,1.220363e+00
417,6,-2.200000e+01,-7.955720e+01,1.822830e+00,1.679934e+00,1.180346e-01
418,1,-7.900000e+01,-7.947770e+01,1.975162e+00,2.888725e-01,1.517046e+00
419,0,-8.600000e+01,-7.947664e+01,2.036928e+00,0.000000e+00,1.806025e+00
420,6,-2.300000e+01,-7.945008e+01,1.823070e+00,1.679934e+00,1.287469e-01
421,4,-5.300000e+01,-7.944169e+01,1.871372e+00,1.134173e+00,6.753465e-01
422,5,-4.100000e+01,-7.940884e+01,1.846093e+00,1.408831e+00,4.039745e-01
423,3,-6.300000e+01,-7.940864e+01,1.900090e+00,8.559607e-01,9.568644e-01
424,6,-2.400000e+01,-7.933833e+01,1.823321e+00,1.679934e+00,1.399215e-01
425,2,-7.200000e+01,-7.925293e+01,1.933949e+00,5.741937e-01,1.254203e+00
426,6,-2.500000e+01,-7.922196e+01,1.823582e+00,1.679934e+00,1.515582e-01
